sido,name,party,vote_rate,winner
강원도,이광재,더불어민주당,45.93,0
강원도,김진태,국민의힘,54.07,1
경기도,김동연,더불어민주당,49.07,1
경기도,김은혜,국민의힘,48.91,0
경기도,황순식,정의당,0.67,0
경기도,서태성,기본소득당,0.16,0
경기도,송영주,진보당,0.24,0
경기도,강용석,무소속,0.95,0
경상남도,양문석,더불어민주당,29.43,0
경상남도,박완수,국민의힘,65.71,1
경상남도,여영국,정의당,4.02,0
경상남도,최진석,통일한국당,0.84,0
경상북도,임미애,더불어민주당,22.04,0
경상북도,이철우,국민의힘,77.96,1
광주광역시,강기정,더불어민주당,74.92,1
광주광역시,주기환,국민의힘,15.91,0
광주광역시,장연주,정의당,4.72,0
광주광역시,문현철,기본소득당,0.75,0
광주광역시,김주업,진보당,3.71,0
대구광역시,서재헌,더불어민주당,17.98,0
대구광역시,홍준표,국민의힘,78.75,1
대구광역시,한민정,정의당,2.4,0
대구광역시,신원호,기본소득당,0.87,0
대전광역시,허태정,더불어민주당,48.8,0
대전광역시,이장우,국민의힘,51.2,1
부산광역시,변성완,더불어민주당,32.24,0
부산광역시,박형준,국민의힘,66.37,1
부산광역시,김영진,정의당,1.4,0
서울특별시,송영길,더불어민주당,39.24,0
서울특별시,오세훈,국민의힘,59.05,1
서울특별시,권수정,정의당,1.22,0
서울특별시,신지혜,기본소득당,0.29,0
서울특별시,김광종,무소속,0.2,0
세종특별자치시,이춘희,더불어민주당,47.16,0
세종특별자치시,최민호,국민의힘,52.84,1
울산광역시,송철호,더불어민주당,40.21,0
울산광역시,김두겸,국민의힘,59.79,1
인천광역시,박남춘,더불어민주당,44.56,0
인천광역시,유정복,국민의힘,51.77,1
인천광역시,이정미,정의당,3.18,0
인천광역시,김한별,기본소득당,0.5,0
전라남도,김영록,더불어민주당,75.74,1
전라남도,이정현,국민의힘,18.81,0
전라남도,민점기,진보당,5.44,0
전라북도,김관영,더불어민주당,82.12,1
전라북도,조배숙,국민의힘,17.88,0
제주특별자치도,오영훈,더불어민주당,55.15,1
제주특별자치도,허향진,국민의힘,39.48,0
제주특별자치도,부순정,녹색당,1.94,0
제주특별자치도,박찬식,무소속,3.43,0
충청남도,양승조,더불어민주당,46.13,0
충청남도,김태흠,국민의힘,53.87,1
충청북도,노영민,더불어민주당,41.81,0
충청북도,김영환,국민의힘,58.19,1
