시도명,연령대,성별,국민의힘_지지도_pct,더불어민주당_지지도_pct
제주특별자치도,30대,남성,54.5,41.3
제주특별자치도,30대,여성,37.3,58.3
제주특별자치도,40대,남성,37.6,59.1
제주특별자치도,40대,여성,33.3,64.3
제주특별자치도,50대,남성,49.4,48.0
제주특별자치도,50대,여성,44.8,53.1
제주특별자치도,60대 이상,남성,64.7,33.2
제주특별자치도,60대 이상,여성,62.4,35.4
충남,20대 이하,남성,71.2,22.8
충남,20대 이하,여성,38.1,53.6
충남,30대,남성,53.7,44.3
충남,30대,여성,42.7,54.3
충남,40대,남성,41.9,56.4
충남,40대,여성,33.8,64.9
충남,50대,남성,53.6,43.1
충남,50대,여성,49.3,49.4
충남,60대 이상,남성,71.6,26.1
충남,60대 이상,여성,69.2,28.5
충북,20대 이하,남성,66.2,26.9
충북,20대 이하,여성,31.4,61.0
충북,30대,남성,54.5,41.3
충북,30대,여성,37.3,58.3
충북,40대,남성,37.6,59.1
충북,40대,여성,33.3,64.3
충북,50대,남성,49.4,48.0
충북,50대,여성,44.8,53.1
충북,60대 이상,남성,64.7,33.2
충북,60대 이상,여성,62.4,35.4
